student_id,student_name,date,attendance_status,day_event
ST001,Ali Khan,2026-01-01,Present,Post_Holiday
ST002,Ahmed Raza,2026-01-01,Present,Post_Holiday
ST003,Sara Ahmed,2026-01-01,Present,Post_Holiday
ST004,Hassan Ali,2026-01-01,Present,Post_Holiday
ST005,Ayesha Khan,2026-01-01,Present,Post_Holiday
ST006,Usman Malik,2026-01-01,Present,Post_Holiday
ST007,Fatima Noor,2026-01-01,Absent,Post_Holiday
ST008,Hamza Shah,2026-01-01,Present,Post_Holiday
ST009,Zainab Iqbal,2026-01-01,Present,Post_Holiday
ST010,Bilal Ahmed,2026-01-01,Present,Post_Holiday
ST001,Ali Khan,2026-01-02,Absent,Normal_Day
ST002,Ahmed Raza,2026-01-02,Absent,Normal_Day
ST003,Sara Ahmed,2026-01-02,Present,Normal_Day
ST004,Hassan Ali,2026-01-02,Present,Normal_Day
ST005,Ayesha Khan,2026-01-02,Present,Normal_Day
ST006,Usman Malik,2026-01-02,Present,Normal_Day
ST007,Fatima Noor,2026-01-02,Present,Normal_Day
ST008,Hamza Shah,2026-01-02,Present,Normal_Day
ST009,Zainab Iqbal,2026-01-02,Present,Normal_Day
ST010,Bilal Ahmed,2026-01-02,Present,Normal_Day
ST001,Ali Khan,2026-01-03,Present,Normal_Day
ST002,Ahmed Raza,2026-01-03,Present,Normal_Day
ST003,Sara Ahmed,2026-01-03,Present,Normal_Day
ST004,Hassan Ali,2026-01-03,Present,Normal_Day
ST005,Ayesha Khan,2026-01-03,Present,Normal_Day
ST006,Usman Malik,2026-01-03,Present,Normal_Day
ST007,Fatima Noor,2026-01-03,Present,Normal_Day
ST008,Hamza Shah,2026-01-03,Present,Normal_Day
ST009,Zainab Iqbal,2026-01-03,Present,Normal_Day
ST010,Bilal Ahmed,2026-01-03,Present,Normal_Day
ST001,Ali Khan,2026-01-04,Present,Normal_Day
ST002,Ahmed Raza,2026-01-04,Present,Normal_Day
ST003,Sara Ahmed,2026-01-04,Present,Normal_Day
ST004,Hassan Ali,2026-01-04,Absent,Normal_Day
ST005,Ayesha Khan,2026-01-04,Present,Normal_Day
ST006,Usman Malik,2026-01-04,Present,Normal_Day
ST007,Fatima Noor,2026-01-04,Present,Normal_Day
ST008,Hamza Shah,2026-01-04,Present,Normal_Day
ST009,Zainab Iqbal,2026-01-04,Present,Normal_Day
ST010,Bilal Ahmed,2026-01-04,Absent,Normal_Day
ST001,Ali Khan,2026-01-05,Absent,Post_Holiday
ST002,Ahmed Raza,2026-01-05,Present,Post_Holiday
ST003,Sara Ahmed,2026-01-05,Present,Post_Holiday
ST004,Hassan Ali,2026-01-05,Present,Post_Holiday
ST005,Ayesha Khan,2026-01-05,Absent,Post_Holiday
ST006,Usman Malik,2026-01-05,Absent,Post_Holiday
ST007,Fatima Noor,2026-01-05,Present,Post_Holiday
ST008,Hamza Shah,2026-01-05,Absent,Post_Holiday
ST009,Zainab Iqbal,2026-01-05,Absent,Post_Holiday
ST010,Bilal Ahmed,2026-01-05,Present,Post_Holiday
ST001,Ali Khan,2026-01-06,Present,Normal_Day
ST002,Ahmed Raza,2026-01-06,Present,Normal_Day
ST003,Sara Ahmed,2026-01-06,Present,Normal_Day
ST004,Hassan Ali,2026-01-06,Present,Normal_Day
ST005,Ayesha Khan,2026-01-06,Present,Normal_Day
ST006,Usman Malik,2026-01-06,Absent,Normal_Day
ST007,Fatima Noor,2026-01-06,Present,Normal_Day
ST008,Hamza Shah,2026-01-06,Present,Normal_Day
ST009,Zainab Iqbal,2026-01-06,Present,Normal_Day
ST010,Bilal Ahmed,2026-01-06,Present,Normal_Day
ST001,Ali Khan,2026-01-07,Present,Normal_Day
ST002,Ahmed Raza,2026-01-07,Present,Normal_Day
ST003,Sara Ahmed,2026-01-07,Present,Normal_Day
ST004,Hassan Ali,2026-01-07,Present,Normal_Day
ST005,Ayesha Khan,2026-01-07,Present,Normal_Day
ST006,Usman Malik,2026-01-07,Present,Normal_Day
ST007,Fatima Noor,2026-01-07,Present,Normal_Day
ST008,Hamza Shah,2026-01-07,Present,Normal_Day
ST009,Zainab Iqbal,2026-01-07,Absent,Normal_Day
ST010,Bilal Ahmed,2026-01-07,Present,Normal_Day
ST001,Ali Khan,2026-01-08,Present,Post_Holiday
ST002,Ahmed Raza,2026-01-08,Absent,Post_Holiday
ST003,Sara Ahmed,2026-01-08,Present,Post_Holiday
ST004,Hassan Ali,2026-01-08,Present,Post_Holiday
ST005,Ayesha Khan,2026-01-08,Absent,Post_Holiday
ST006,Usman Malik,2026-01-08,Absent,Post_Holiday
ST007,Fatima Noor,2026-01-08,Present,Post_Holiday
ST008,Hamza Shah,2026-01-08,Absent,Post_Holiday
ST009,Zainab Iqbal,2026-01-08,Present,Post_Holiday
ST010,Bilal Ahmed,2026-01-08,Present,Post_Holiday
ST001,Ali Khan,2026-01-09,Present,Normal_Day
